NAICS Description,naics2002,data,total
,23731,ann. pay.,19112815
,23731,est. rec.,108335101
"Highway, Street, and Bridge Construction",237310,firms,10953
,237310,estab.,11746
,237310,empl.,323289
,237310,ann. pay.,19112815
,237310,est. rec.,108335101
Other Heavy and Civil Engineering Construction,2379,firms,5200
,2379,estab.,5392
,2379,empl.,91545
,2379,ann. pay.,5229613
,2379,est. rec.,23291745
Other Heavy and Civil Engineering Construction,23799,firms,5200
,23799,estab.,5392
,23799,empl.,91545
,23799,ann. pay.,5229613
,23799,est. rec.,23291745
Other Heavy and Civil Engineering Construction,237990,firms,5200
,237990,estab.,5392
,237990,empl.,91545
,237990,ann. pay.,5229613
,237990,est. rec.,23291745
Specialty Trade Contractors,238,firms,508722
,238,estab.,515169
,238,empl.,4579222
,238,ann. pay.,196206726
,238,est. rec.,694885238
"Foundation, Structure, and Building Exterior Contractors",2381,firms,115010
,2381,estab.,115764
,2381,empl.,1103222
,2381,ann. pay.,42368506
,2381,est. rec.,155725823
Poured Concrete Foundation and Structure Contractors,23811,firms,26192
,23811,estab.,26342
,23811,empl.,301905
,23811,ann. pay.,12300579
,23811,est. rec.,46641571
Poured Concrete Foundation and Structure Contractors,238110,firms,26192
,238110,estab.,26342
,238110,empl.,301905
,238110,ann. pay.,12300579
,238110,est. rec.,46641571
Structural Steel and Precast Concrete Contractors,23812,firms,3663
,23812,estab.,3697
,23812,empl.,79359
,23812,ann. pay.,3844460
,23812,est. rec.,12922234
Structural Steel and Precast Concrete Contractors,238120,firms,3663
,238120,estab.,3697
,238120,empl.,79359
,238120,ann. pay.,3844460
,238120,est. rec.,12922234
Framing Contractors,23813,firms,17327
,23813,estab.,17358
,23813,empl.,148356
,23813,ann. pay.,4507731
,23813,est. rec.,16405381
Framing Contractors,238130,firms,17327
,238130,estab.,17358
,238130,empl.,148356
,238130,ann. pay.,4507731
,238130,est. rec.,16405381
Masonry Contractors,23814,firms,27000
,23814,estab.,27122
,23814,empl.,234615
,23814,ann. pay.,8426001
,23814,est. rec.,27305176
Masonry Contractors,238140,firms,27000
,238140,estab.,27122
,238140,empl.,234615
,238140,ann. pay.,8426001
,238140,est. rec.,27305176
Glass and Glazing Contractors,23815,firms,5503
,23815,estab.,5584
,23815,empl.,54587
,23815,ann. pay.,2472151
,23815,est. rec.,9640513
Glass and Glazing Contractors,238150,firms,5503
,238150,estab.,5584
,238150,empl.,54587
,238150,ann. pay.,2472151
,238150,est. rec.,9640513
Roofing Contractors,23816,firms,19270
,23816,estab.,19512
,23816,empl.,189855
,23816,ann. pay.,7228124
,23816,est. rec.,28919426
Roofing Contractors,238160,firms,19270
,238160,estab.,19512
,238160,empl.,189855
,238160,ann. pay.,7228124
,238160,est. rec.,28919426
Siding Contractors,23817,firms,10395
,23817,estab.,10429
,23817,empl.,49510
,23817,ann. pay.,1651639
,23817,est. rec.,7040871
Siding Contractors,238170,firms,10395
,238170,estab.,10429
,238170,empl.,49510
,238170,ann. pay.,1651639
,238170,est. rec.,7040871
"Other Foundation, Structure, and Building Exterior Contractors",23819,firms,5701
,23819,estab.,5720
,23819,empl.,45035
,23819,ann. pay.,1937821
