NAICS Description,naics2002,data,total
,524,empl.,2326944
,524,ann. pay.,150959344
,524,est. rec.,1629364475
Insurance Carriers,5241,firms,7702
,5241,estab.,33598
,5241,empl.,1423578
,5241,ann. pay.,100704200
,5241,est. rec.,1458917072
"Direct Life, Health, and Medical Insurance Carriers",52411,firms,2051
,52411,estab.,12408
,52411,empl.,773349
,52411,ann. pay.,56032546
,52411,est. rec.,997656891
Direct Life Insurance Carriers,524113,firms,1088
,524113,estab.,8290
,524113,empl.,359025
,524113,ann. pay.,28243448
,524113,est. rec.,527507416
Direct Health and Medical Insurance Carriers,524114,firms,1002
,524114,estab.,4118
,524114,empl.,414324
,524114,ann. pay.,27789098
,524114,est. rec.,470149475
"Direct Insurance (except Life, Health, and Medical) Carriers",52412,firms,5493
,52412,estab.,20647
,52412,empl.,633802
,52412,ann. pay.,42510710
,52412,est. rec.,416959253
Direct Property and Casualty Insurance Carriers,524126,firms,2677
,524126,estab.,13221
,524126,empl.,532991
,524126,ann. pay.,36114928
,524126,est. rec.,393691034
Direct Title Insurance Carriers,524127,firms,2364
,524127,estab.,6938
,524127,empl.,88124
,524127,ann. pay.,5708602
,524127,est. rec.,18368744
"Other Direct Insurance (except Life, Health, and Medical) Carriers",524128,firms,469
,524128,estab.,488
,524128,empl.,12687
,524128,ann. pay.,687180
,524128,est. rec.,4899475
Reinsurance Carriers,52413,firms,259
,52413,estab.,543
,52413,empl.,16427
,52413,ann. pay.,2160944
,52413,est. rec.,44300928
Reinsurance Carriers,524130,firms,259
,524130,estab.,543
,524130,empl.,16427
,524130,ann. pay.,2160944
,524130,est. rec.,44300928
"Agencies, Brokerages, and Other Insurance Related Activities",5242,firms,131477
,5242,estab.,147930
,5242,empl.,903366
,5242,ann. pay.,50255144
,5242,est. rec.,170447403
Insurance Agencies and Brokerages,52421,firms,122266
,52421,estab.,134297
,52421,empl.,697985
,52421,ann. pay.,38522575
,52421,est. rec.,117877671
Insurance Agencies and Brokerages,524210,firms,122266
,524210,estab.,134297
,524210,empl.,697985
,524210,ann. pay.,38522575
,524210,est. rec.,117877671
Other Insurance Related Activities,52429,firms,9388
,52429,estab.,13633
,52429,empl.,205381
,52429,ann. pay.,11732569
,52429,est. rec.,52569732
Claims Adjusting,524291,firms,3651
,524291,estab.,5452
,524291,empl.,46496
,524291,ann. pay.,2563849
,524291,est. rec.,6448236
Third Party Administration of Insurance and Pension Funds,524292,firms,3496
,524292,estab.,5498
,524292,empl.,136272
,524292,ann. pay.,7734589
,524292,est. rec.,41937255
All Other Insurance Related Activities,524298,firms,2317
,524298,estab.,2683
,524298,empl.,22613
,524298,ann. pay.,1434131
,524298,est. rec.,4184241
"Funds, Trusts, and Other Financial Vehicles",525,firms,2213
,525,estab.,3678
,525,empl.,33396
,525,ann. pay.,3386798
,525,est. rec.,25762873
Other Investment Pools and Funds,5259,firms,2213
,5259,estab.,3678
,5259,empl.,33396
,5259,ann. pay.,3386798
,5259,est. rec.,25762873
Open-End Investment Funds,52591,firms,255
,52591,estab.,309
,52591,empl.,4627
,52591,ann. pay.,824572
,52591,est. rec.,D
Open-End Investment Funds,525910,firms,255
,525910,estab.,309
,525910,empl.,4627
,525910,ann. pay.,824572
,525910,est. rec.,D
Real Estate Investment Trusts,52593,firms,893
,52593,estab.,2290
,52593,empl.,22859
,52593,ann. pay.,2111779
,52593,est. rec.,20989546
Real Estate Investment Trusts,525930,firms,893
,525930,estab.,2290
,525930,empl.,22859
,525930,ann. pay.,2111779
,525930,est. rec.,20989546
Other Financial Vehicles,52599,firms,1066
,52599,estab.,1079
,52599,empl.,5910
,52599,ann. pay.,450447
,52599,est. rec.,2229392
Other Financial Vehicles,525990,firms,1066
,525990,estab.,1079
,525990,empl.,5910
,525990,ann. pay.,450447
,525990,est. rec.,2229392
Real Estate and Rental and Leasing,53,firms,301068
,53,estab.,380138
,53,empl.,2224175
,53,ann. pay.,89013549
,53,est. rec.,461625480
Real Estate,531,firms,270268
,531,estab.,312524
,531,empl.,1554163
,531,ann. pay.,64511431
,531,est. rec.,314825826
Lessors of Real Estate,5311,firms,95954
,5311,estab.,115270
,5311,empl.,539169
,5311,ann. pay.,18172089
,5311,est. rec.,142157003
Lessors of Residential Buildings and Dwellings,53111,firms,50047
,53111,estab.,60407
,53111,empl.,301548
,53111,ann. pay.,8831050
,53111,est. rec.,65427967
Lessors of Residential Buildings and Dwellings,531110,firms,50047
,531110,estab.,60407
,531110,empl.,301548
,531110,ann. pay.,8831050
,531110,est. rec.,65427967
Lessors of Nonresidential Buildings (except Miniwarehouses),53112,firms,28082
,53112,estab.,31046
,53112,empl.,160432
,53112,ann. pay.,7295221
,53112,est. rec.,62696108
Lessors of Nonresidential Buildings (except Miniwarehouses),531120,firms,28082
,531120,estab.,31046
,531120,empl.,160432
,531120,ann. pay.,7295221
,531120,est. rec.,62696108
Lessors of Miniwarehouses and Self-Storage Units,53113,firms,9441
,53113,estab.,14023
,53113,empl.,39097
,53113,ann. pay.,974641
,53113,est. rec.,6748539
Lessors of Miniwarehouses and Self-Storage Units,531130,firms,9441
,531130,estab.,14023
,531130,empl.,39097
,531130,ann. pay.,974641
,531130,est. rec.,6748539
Lessors of Other Real Estate Property,53119,firms,8684
,53119,estab.,9794
,53119,empl.,38092
,53119,ann. pay.,1071177
,53119,est. rec.,7284389
Lessors of Other Real Estate Property,531190,firms,8684
,531190,estab.,9794
,531190,empl.,38092
,531190,ann. pay.,1071177
,531190,est. rec.,7284389
Offices of Real Estate Agents and Brokers,5312,firms,100971
,5312,estab.,111028
,5312,empl.,367125
,5312,ann. pay.,17753107
,5312,est. rec.,91605335
Offices of Real Estate Agents and Brokers,53121,firms,100971
,53121,estab.,111028
,53121,empl.,367125
,53121,ann. pay.,17753107
,53121,est. rec.,91605335
Offices of Real Estate Agents and Brokers,531210,firms,100971
,531210,estab.,111028
,531210,empl.,367125
,531210,ann. pay.,17753107
,531210,est. rec.,91605335
Activities Related to Real Estate,5313,firms,74307
,5313,estab.,86226
,5313,empl.,647869
,5313,ann. pay.,28586235
,5313,est. rec.,81063488
Real Estate Property Managers,53131,firms,41937
,53131,estab.,52611
,53131,empl.,526320
,53131,ann. pay.,21746350
,53131,est. rec.,57837920
Residential Property Managers,531311,firms,28238
,531311,estab.,36429
,531311,empl.,377338
,531311,ann. pay.,13210896
,531311,est. rec.,33877549
Nonresidential Property Managers,531312,firms,13791
,531312,estab.,16182
,531312,empl.,148982
,531312,ann. pay.,8535454
,531312,est. rec.,23960371
Offices of Real Estate Appraisers,53132,firms,16102
,53132,estab.,16393
,53132,empl.,45800
,53132,ann. pay.,1866046
,53132,est. rec.,5257466
Offices of Real Estate Appraisers,531320,firms,16102
,531320,estab.,16393
,531320,empl.,45800
,531320,ann. pay.,1866046
,531320,est. rec.,5257466
Other Activities Related to Real Estate,53139,firms,16373
,53139,estab.,17222
,53139,empl.,75749
,53139,ann. pay.,4973839
,53139,est. rec.,17968102
Other Activities Related to Real Estate,531390,firms,16373
,531390,estab.,17222
,531390,empl.,75749
,531390,ann. pay.,4973839
,531390,est. rec.,17968102
Rental and Leasing Services,532,firms,28435
,532,estab.,65046
,532,empl.,638277
,532,ann. pay.,21869453
,532,est. rec.,124190956
Automotive Equipment Rental and Leasing,5321,firms,4706
,5321,estab.,13475
,5321,empl.,199872
,5321,ann. pay.,6566423
,5321,est. rec.,45192386
Passenger Car Rental and Leasing,53211,firms,2763
,53211,estab.,7150
,53211,empl.,144699
,53211,ann. pay.,4437269
,53211,est. rec.,29278419
Passenger Car Rental,532111,firms,2177
,532111,estab.,6517
,532111,empl.,136362
,532111,ann. pay.,4022824
,532111,est. rec.,22758605
Passenger Car Leasing,532112,firms,591
,532112,estab.,633
,532112,empl.,8337
,532112,ann. pay.,414445
,532112,est. rec.,6519814
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",53212,firms,1955
,53212,estab.,6325
,53212,empl.,55173
,53212,ann. pay.,2129154
,53212,est. rec.,15913967
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532120,firms,1955
,532120,estab.,6325
,532120,empl.,55173
,532120,ann. pay.,2129154
,532120,est. rec.,15913967
Consumer Goods Rental,5322,firms,12110
,5322,estab.,31338
,5322,empl.,237074
,5322,ann. pay.,5207813
,5322,est. rec.,23559598
Consumer Electronics and Appliances Rental,53221,firms,752
,53221,estab.,4355
,53221,empl.,J
,53221,ann. pay.,779399
,53221,est. rec.,3605153
Consumer Electronics and Appliances Rental,532210,firms,752
,532210,estab.,4355
,532210,empl.,J
,532210,ann. pay.,779399
,532210,est. rec.,3605153
Formal Wear and Costume Rental,53222,firms,975
,53222,estab.,2011
,53222,empl.,11653
,53222,ann. pay.,220315
,53222,est. rec.,1109142
Formal Wear and Costume Rental,532220,firms,975
,532220,estab.,2011
,532220,empl.,11653
,532220,ann. pay.,220315
,532220,est. rec.,1109142
Video Tape and Disc Rental,53223,firms,4964
,53223,estab.,16258
,53223,empl.,127492
,53223,ann. pay.,1710162
,53223,est. rec.,9252802
Video Tape and Disc Rental,532230,firms,4964
,532230,estab.,16258
,532230,empl.,127492
,532230,ann. pay.,1710162
,532230,est. rec.,9252802
Other Consumer Goods Rental,53229,firms,5443
,53229,estab.,8714
,53229,empl.,75265
,53229,ann. pay.,2497937
,53229,est. rec.,9592501
Home Health Equipment Rental,532291,firms,796
,532291,estab.,2509
,532291,empl.,26094
,532291,ann. pay.,1030792
,532291,est. rec.,4348922
Recreational Goods Rental,532292,firms,1720
,532292,estab.,1823
,532292,empl.,8046
,532292,ann. pay.,182898
,532292,est. rec.,765758
All Other Consumer Goods Rental,532299,firms,2932
,532299,estab.,4382
,532299,empl.,41125
,532299,ann. pay.,1284247
,532299,est. rec.,4477821
General Rental Centers,5323,firms,3239
,5323,estab.,5435
,5323,empl.,35493
,5323,ann. pay.,1217156
,5323,est. rec.,5362490
General Rental Centers,53231,firms,3239
,53231,estab.,5435
,53231,empl.,35493
,53231,ann. pay.,1217156
,53231,est. rec.,5362490
General Rental Centers,532310,firms,3239
,532310,estab.,5435
,532310,empl.,35493
,532310,ann. pay.,1217156
,532310,est. rec.,5362490
Commercial and Industrial Machinery and Equipment Rental and Leasing,5324,firms,8577
,5324,estab.,14798
,5324,empl.,165838
,5324,ann. pay.,8878061
,5324,est. rec.,50076482
"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing",53241,firms,3457
,53241,estab.,5577
,53241,empl.,70033
,53241,ann. pay.,4279964
,53241,est. rec.,26666006
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",532411,firms,719
,532411,estab.,806
,532411,empl.,6930
,532411,ann. pay.,611188
,532411,est. rec.,9242999
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",532412,firms,2744
,532412,estab.,4771
,532412,empl.,63103
,532412,ann. pay.,3668776
,532412,est. rec.,17423007
Office Machinery and Equipment Rental and Leasing,53242,firms,718
,53242,estab.,1737
,53242,empl.,10054
,53242,ann. pay.,601111
,53242,est. rec.,5327221
Office Machinery and Equipment Rental and Leasing,532420,firms,718
,532420,estab.,1737
,532420,empl.,10054
,532420,ann. pay.,601111
,532420,est. rec.,5327221
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,53249,firms,4456
,53249,estab.,7484
,53249,empl.,85751
,53249,ann. pay.,3996986
,53249,est. rec.,18083255
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490,firms,4456
,532490,estab.,7484
,532490,empl.,85751
,532490,ann. pay.,3996986
,532490,est. rec.,18083255
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533,firms,2476
,533,estab.,2568
,533,empl.,31735
,533,ann. pay.,2632665
,533,est. rec.,22608698
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),5331,firms,2476
,5331,estab.,2568
,5331,empl.,31735
,5331,ann. pay.,2632665
,5331,est. rec.,22608698
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),53311,firms,2476
,53311,estab.,2568
,53311,empl.,31735
,53311,ann. pay.,2632665
,53311,est. rec.,22608698
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,firms,2476
,533110,estab.,2568
,533110,empl.,31735
,533110,ann. pay.,2632665
,533110,est. rec.,22608698
"Professional, Scientific, and Technical Services",54,firms,787157
,54,estab.,867556
,54,empl.,8179941
,54,ann. pay.,532997294
,54,est. rec.,1369803351
"Professional, Scientific, and Technical Services",541,firms,787157
,541,estab.,867556
,541,empl.,8179941
,541,ann. pay.,532997294
,541,est. rec.,1369803351
Legal Services,5411,firms,181525
,5411,estab.,191351
,5411,empl.,1206577
,5411,ann. pay.,89721697
,5411,est. rec.,241585199
Offices of Lawyers,54111,firms,168798
,54111,estab.,176009
,54111,empl.,1110269
,54111,ann. pay.,85444682
,54111,est. rec.,229618256
Offices of Lawyers,541110,firms,168798
,541110,estab.,176009
,541110,empl.,1110269
,541110,ann. pay.,85444682
,541110,est. rec.,229618256
Other Legal Services,54119,firms,12770
,54119,estab.,15342
,54119,empl.,96308
,54119,ann. pay.,4277015
,54119,est. rec.,11966943
Title Abstract and Settlement Offices,541191,firms,9979
,541191,estab.,12332
,541191,empl.,80118
,541191,ann. pay.,3485040
,541191,est. rec.,9534420
All Other Legal Services,541199,firms,2792
,541199,estab.,3010
,541199,empl.,16190
,541199,ann. pay.,791975
,541199,est. rec.,2432523
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412,firms,108428
,5412,estab.,123415
,5412,empl.,1357368
,5412,ann. pay.,55869823
,5412,est. rec.,118782462
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54121,firms,108428
,54121,estab.,123415
,54121,empl.,1357368
,54121,ann. pay.,55869823
,54121,est. rec.,118782462
Offices of Certified Public Accountants,541211,firms,54047
,541211,estab.,56944
,541211,empl.,435542
,541211,ann. pay.,25975991
,541211,est. rec.,63828225
Tax Preparation Services,541213,firms,15270
,541213,estab.,25363
,541213,empl.,215671
,541213,ann. pay.,2703498
,541213,est. rec.,7407982
Payroll Services,541214,firms,4060
,541214,estab.,5169
,541214,empl.,490737
,541214,ann. pay.,19041964
,541214,est. rec.,31258053
Other Accounting Services,541219,firms,35181
,541219,estab.,35939
,541219,empl.,215418
,541219,ann. pay.,8148370
,541219,est. rec.,16288202
"Architectural, Engineering, and Related Services",5413,firms,101108
,5413,estab.,117115
,5413,empl.,1434803
,5413,ann. pay.,98613738
,5413,est. rec.,255969849
Architectural Services,54131,firms,24255
,54131,estab.,25331
,54131,empl.,206876
,54131,ann. pay.,14155835
,54131,est. rec.,37897974
Architectural Services,541310,firms,24255
,541310,estab.,25331
,541310,empl.,206876
,541310,ann. pay.,14155835
,541310,est. rec.,37897974
Landscape Architectural Services,54132,firms,6465
,54132,estab.,6630
,54132,empl.,41282
,54132,ann. pay.,2007202
,54132,est. rec.,5272079
Landscape Architectural Services,541320,firms,6465
,541320,estab.,6630
,541320,empl.,41282
,541320,ann. pay.,2007202
,541320,est. rec.,5272079
Engineering Services,54133,firms,46499
,54133,estab.,57726
,54133,empl.,961012
,54133,ann. pay.,71439892
,54133,est. rec.,185834070
Engineering Services,541330,firms,46499
,541330,estab.,57726
,541330,empl.,961012
,541330,ann. pay.,71439892
,541330,est. rec.,185834070
Drafting Services,54134,firms,3097
,54134,estab.,4643
,54134,empl.,18028
,54134,ann. pay.,919838
,54134,est. rec.,2555812
Drafting Services,541340,firms,3097
,541340,estab.,4643
,541340,empl.,18028
,541340,ann. pay.,919838
,541340,est. rec.,2555812
Building Inspection Services,54135,firms,5768
,54135,estab.,5883
,54135,empl.,19578
,54135,ann. pay.,817713
,54135,est. rec.,2121920
Building Inspection Services,541350,firms,5768
,541350,estab.,5883
,541350,empl.,19578
,541350,ann. pay.,817713
,541350,est. rec.,2121920
Geophysical Surveying and Mapping Services,54136,firms,999
,54136,estab.,1055
,54136,empl.,12399
,54136,ann. pay.,774861
,54136,est. rec.,2739034
Geophysical Surveying and Mapping Services,541360,firms,999
,541360,estab.,1055
,541360,empl.,12399
,541360,ann. pay.,774861
,541360,est. rec.,2739034
Surveying and Mapping (except Geophysical) Services,54137,firms,9304
,54137,estab.,9581
,54137,empl.,68319
,54137,ann. pay.,2882950
,54137,est. rec.,6394649
Surveying and Mapping (except Geophysical) Services,541370,firms,9304
,541370,estab.,9581
,541370,empl.,68319
,541370,ann. pay.,2882950
,541370,est. rec.,6394649
Testing Laboratories,54138,firms,5041
,54138,estab.,6266
,54138,empl.,107309
,54138,ann. pay.,5615447
,54138,est. rec.,13154311
Testing Laboratories,541380,firms,5041
,541380,estab.,6266
,541380,empl.,107309
,541380,ann. pay.,5615447
,541380,est. rec.,13154311
Specialized Design Services,5414,firms,34485
,5414,estab.,34783
,5414,empl.,134739
,5414,ann. pay.,6759677
,5414,est. rec.,24121488
Interior Design Services,54141,firms,13680
,54141,estab.,13809
,54141,empl.,49063
,54141,ann. pay.,2247833
,54141,est. rec.,10385515
Interior Design Services,541410,firms,13680
,541410,estab.,13809
,541410,empl.,49063
,541410,ann. pay.,2247833
,541410,est. rec.,10385515
Industrial Design Services,54142,firms,1921
,54142,estab.,1959
,54142,empl.,13463
,54142,ann. pay.,837714
,54142,est. rec.,2427250
Industrial Design Services,541420,firms,1921
,541420,estab.,1959
,541420,empl.,13463
,541420,ann. pay.,837714
,541420,est. rec.,2427250
Graphic Design Services,54143,firms,16762
,54143,estab.,16863
,54143,empl.,63671
,54143,ann. pay.,3223173
,54143,est. rec.,9667124
Graphic Design Services,541430,firms,16762
,541430,estab.,16863
,541430,empl.,63671
,541430,ann. pay.,3223173
,541430,est. rec.,9667124
Other Specialized Design Services,54149,firms,2129
,54149,estab.,2152
,54149,empl.,8542
,54149,ann. pay.,450957
,54149,est. rec.,1641599
Other Specialized Design Services,541490,firms,2129
,541490,estab.,2152
,541490,empl.,8542
,541490,ann. pay.,450957
,541490,est. rec.,1641599
Computer Systems Design and Related Services,5415,firms,104469
,5415,estab.,116769
,5415,empl.,1297710
,5415,ann. pay.,101677021
,5415,est. rec.,274090856
Computer Systems Design and Related Services,54151,firms,104469
,54151,estab.,116769
,54151,empl.,1297710
,54151,ann. pay.,101677021
,54151,est. rec.,274090856
Custom Computer Programming Services,541511,firms,49231
,541511,estab.,52609
,541511,empl.,537006
,541511,ann. pay.,43252038
,541511,est. rec.,100356442
Computer Systems Design Services,541512,firms,42242
,541512,estab.,48769
,541512,empl.,540120
,541512,ann. pay.,41535469
,541512,est. rec.,123843899
Computer Facilities Management Services,541513,firms,3219
,541513,estab.,4302
,541513,empl.,99912
,541513,ann. pay.,7501280
,541513,est. rec.,23188228
Other Computer Related Services,541519,firms,10210
,541519,estab.,11089
,541519,empl.,120672
,541519,ann. pay.,9388234
,541519,est. rec.,26702287
"Management, Scientific, and Technical Consulting Services",5416,firms,143228
,5416,estab.,151766
,5416,empl.,1015109
,5416,ann. pay.,72099617
,5416,est. rec.,193880951
Management Consulting Services,54161,firms,110359
,54161,estab.,117080
,54161,empl.,830151
,54161,ann. pay.,60621488
,54161,est. rec.,157288610
Administrative Management and General Management Consulting Services,541611,firms,58866
,541611,estab.,61549
,541611,empl.,437831
,541611,ann. pay.,35412999
,541611,est. rec.,80865717
Human Resources and Executive Search Consulting Services,541612,firms,13575
,541612,estab.,15336
,541612,empl.,150554
,541612,ann. pay.,10592536
,541612,est. rec.,23122570
Marketing Consulting Services,541613,firms,25040
,541613,estab.,25602
,541613,empl.,143903
,541613,ann. pay.,8262285
,541613,est. rec.,26624265
"Process, Physical Distribution, and Logistics Consulting Services",541614,firms,6379
,541614,estab.,7880
,541614,empl.,70278
,541614,ann. pay.,4426111
,541614,est. rec.,21496715
Other Management Consulting Services,541618,firms,6629
,541618,estab.,6713
,541618,empl.,27585
,541618,ann. pay.,1927557
,541618,est. rec.,5179343
Environmental Consulting Services,54162,firms,8243
,54162,estab.,9374
,54162,empl.,69456
,54162,ann. pay.,3841167
,54162,est. rec.,10539105
Environmental Consulting Services,541620,firms,8243
,541620,estab.,9374
,541620,empl.,69456
,541620,ann. pay.,3841167
,541620,est. rec.,10539105
Other Scientific and Technical Consulting Services,54169,firms,24714
,54169,estab.,25312
,54169,empl.,115502
,54169,ann. pay.,7636962
,54169,est. rec.,26053236
Other Scientific and Technical Consulting Services,541690,firms,24714
,541690,estab.,25312
,541690,empl.,115502
,541690,ann. pay.,7636962
,541690,est. rec.,26053236
Scientific Research and Development Services,5417,firms,14009
,5417,estab.,17787
,5417,empl.,688052
,5417,ann. pay.,61837671
,5417,est. rec.,113331959
"Research and Development in the Physical, Engineering, and Life Sciences",54171,firms,11686
,54171,estab.,15196
,54171,empl.,631475
,54171,ann. pay.,57633341
,54171,est. rec.,106544847
"Research and Development in the Physical, Engineering, and Life Sciences",541710,firms,11686
,541710,estab.,15196
,541710,empl.,631475
,541710,ann. pay.,57633341
,541710,est. rec.,106544847
Research and development in biotechnology,541711,firms,
,541711,estab.,
,541711,empl.,
,541711,ann. pay.,
,541711,est. rec.,
"Research and development in the physical, engineering, and life sciences (except biotechnology)",541712,firms,
,541712,estab.,
,541712,empl.,
,541712,ann. pay.,
,541712,est. rec.,
Research and Development in the Social Sciences and Humanities,54172,firms,2369
,54172,estab.,2591
,54172,empl.,56577
,54172,ann. pay.,4204330
,54172,est. rec.,6787112
Research and Development in the Social Sciences and Humanities,541720,firms,2369
,541720,estab.,2591
,541720,empl.,56577
,541720,ann. pay.,4204330
,541720,est. rec.,6787112
Advertising and Related Services,5418,firms,36980
,5418,estab.,40275
,5418,empl.,445590
,5418,ann. pay.,25341436
,5418,est. rec.,83216540
Advertising Agencies,54181,firms,13245
,54181,estab.,14326
,54181,empl.,172627
,54181,ann. pay.,12548266
,54181,est. rec.,32556190
Advertising Agencies,541810,firms,13245
,541810,estab.,14326
,541810,empl.,172627
,541810,ann. pay.,12548266
,541810,est. rec.,32556190
Public Relations Agencies,54182,firms,7261
,54182,estab.,7649
,54182,empl.,44248
,54182,ann. pay.,3570545
,54182,est. rec.,8372463
Public Relations Agencies,541820,firms,7261
,541820,estab.,7649
,541820,empl.,44248
,541820,ann. pay.,3570545
,541820,est. rec.,8372463
Media Buying Agencies,54183,firms,826
,54183,estab.,912
,54183,empl.,11260
,54183,ann. pay.,815368
,54183,est. rec.,3558023
Media Buying Agencies,541830,firms,826
,541830,estab.,912
,541830,empl.,11260
,541830,ann. pay.,815368
,541830,est. rec.,3558023
Media Representatives,54184,firms,1957
,54184,estab.,2233
,54184,empl.,18001
,54184,ann. pay.,1088566
,54184,est. rec.,3712436
Media Representatives,541840,firms,1957
,541840,estab.,2233
,541840,empl.,18001
,541840,ann. pay.,1088566
,541840,est. rec.,3712436
Display Advertising,54185,firms,2129
,54185,estab.,2553
,54185,empl.,32963
,54185,ann. pay.,1383080
,54185,est. rec.,8281227
Display Advertising,541850,firms,2129
,541850,estab.,2553
,541850,empl.,32963
,541850,ann. pay.,1383080
,541850,est. rec.,8281227
Direct Mail Advertising,54186,firms,3004
,54186,estab.,3302
,54186,empl.,72710
,54186,ann. pay.,3002115
,54186,est. rec.,11995428
Direct Mail Advertising,541860,firms,3004
,541860,estab.,3302
,541860,empl.,72710
,541860,ann. pay.,3002115
,541860,est. rec.,11995428
Advertising Material Distribution Services,54187,firms,763
,54187,estab.,859
,54187,empl.,13828
,54187,ann. pay.,563133
,54187,est. rec.,2460949
Advertising Material Distribution Services,541870,firms,763
,541870,estab.,859
,541870,empl.,13828
,541870,ann. pay.,563133
,541870,est. rec.,2460949
Other Services Related to Advertising,54189,firms,7911
,54189,estab.,8441
,54189,empl.,79953
,54189,ann. pay.,2370363
,54189,est. rec.,12279824
Other Services Related to Advertising,541890,firms,7911
,541890,estab.,8441
,541890,empl.,79953
,541890,ann. pay.,2370363
,541890,est. rec.,12279824
"Other Professional, Scientific, and Technical Services",5419,firms,64704
,5419,estab.,74295
,5419,empl.,599993
,5419,ann. pay.,21076614
,5419,est. rec.,64824047
Marketing Research and Public Opinion Polling,54191,firms,4661
,54191,estab.,5628
,54191,empl.,115874
,54191,ann. pay.,5181678
,54191,est. rec.,15039819
Marketing Research and Public Opinion Polling,541910,firms,4661
,541910,estab.,5628
,541910,empl.,115874
,541910,ann. pay.,5181678
,541910,est. rec.,15039819
Photographic Services,54192,firms,13706
,54192,estab.,19718
,54192,empl.,85503
,54192,ann. pay.,1917163
,54192,est. rec.,6323774
"Photography Studios, Portrait",541921,firms,9646
,541921,estab.,15597
,541921,empl.,72370
,541921,ann. pay.,1348838
,541921,est. rec.,4379514
Commercial Photography,541922,firms,4066
,541922,estab.,4121
,541922,empl.,13133
,541922,ann. pay.,568325
,541922,est. rec.,1944260
Translation and Interpretation Services,54193,firms,1933
,54193,estab.,1999
,54193,empl.,13423
,54193,ann. pay.,673492
,54193,est. rec.,1839706
Translation and Interpretation Services,541930,firms,1933
,541930,estab.,1999
,541930,empl.,13423
,541930,ann. pay.,673492
,541930,est. rec.,1839706
Veterinary Services,54194,firms,26569
,54194,estab.,28336
,54194,empl.,294008
,54194,ann. pay.,8736940
,54194,est. rec.,24912881
Veterinary Services,541940,firms,26569
,541940,estab.,28336
,541940,empl.,294008
,541940,ann. pay.,8736940
,541940,est. rec.,24912881
"All Other Professional, Scientific, and Technical Services",54199,firms,17845
,54199,estab.,18614
,54199,empl.,91185
,54199,ann. pay.,4567341
,54199,est. rec.,16707867
"All Other Professional, Scientific, and Technical Services",541990,firms,17845
,541990,estab.,18614
,541990,empl.,91185
,541990,ann. pay.,4567341
,541990,est. rec.,16707867
Management of Companies and Enterprises,55,firms,28139
,55,estab.,50643
,55,empl.,3121402
,55,ann. pay.,292691203
,55,est. rec.,508012222
Management of Companies and Enterprises,551,firms,28139
,551,estab.,50643
,551,empl.,3121402
,551,ann. pay.,292691203
,551,est. rec.,508012222
Management of Companies and Enterprises,5511,firms,28139
,5511,estab.,50643
,5511,empl.,3121402
,5511,ann. pay.,292691203
,5511,est. rec.,508012222
Management of Companies and Enterprises,55111,firms,28139
,55111,estab.,50643
,55111,empl.,3121402
,55111,ann. pay.,292691203
,55111,est. rec.,508012222
Offices of Bank Holding Companies,551111,firms,1049
,551111,estab.,1313
,551111,empl.,20046
,551111,ann. pay.,1835446
,551111,est. rec.,8527652
Offices of Other Holding Companies,551112,firms,7438
,551112,estab.,8238
,551112,empl.,178577
,551112,ann. pay.,17536145
,551112,est. rec.,90565832
"Corporate, Subsidiary, and Regional Managing Offices",551114,firms,20807
,551114,estab.,41092
,551114,empl.,2922779
,551114,ann. pay.,273319612
,551114,est. rec.,408918738
Administrative and Support and Waste Management and Remediation Services,56,firms,328742
,56,estab.,384501
,56,empl.,9983661
,56,ann. pay.,299933212
,56,est. rec.,645923582
Administrative and Support Services,561,firms,311675
,561,estab.,363043
,561,empl.,9628468
,561,ann. pay.,284203364
,561,est. rec.,574904018
Office Administrative Services,5611,firms,27528
,5611,estab.,29996
,5611,empl.,472690
,5611,ann. pay.,25866815
,5611,est. rec.,65498901
Office Administrative Services,56111,firms,27528
,56111,estab.,29996
,56111,empl.,472690
,56111,ann. pay.,25866815
,56111,est. rec.,65498901
Office Administrative Services,561110,firms,27528
,561110,estab.,29996
,561110,empl.,472690
,561110,ann. pay.,25866815
,561110,est. rec.,65498901
Facilities Support Services,5612,firms,1732
,5612,estab.,4593
,5612,empl.,189275
,5612,ann. pay.,8496096
,5612,est. rec.,21423361
Facilities Support Services,56121,firms,1732
,56121,estab.,4593
,56121,empl.,189275
,56121,ann. pay.,8496096
,56121,est. rec.,21423361
Facilities Support Services,561210,firms,1732
,561210,estab.,4593
,561210,empl.,189275
,561210,ann. pay.,8496096
,561210,est. rec.,21423361
Employment Services,5613,firms,24586
,5613,estab.,44476
